RabbitID,SurgeryID,AgeWeeks,WeightKg,Sex,Strain,SurgeryType,DurationMin,AnesthesiaProtocol,LocalBlock,IntraOpAnalgesicMgPerKg,PreOpGrimace,PreOpBehaviorScore,PreOpBiomarker,Housing,VetID,SurgeryPainBoost,LatentPain,ExpectedPainDurationDays,DurationPerKg,PreOpGrimaceFilled,PreOpBiomarkerFilled,PreOpRiskScore,SurgeryComplexity,AnalgesiaNeedScore,AnalgesiaNeedCategory,FirstPostOpGrimace,RescueAnalgesiaGiven,AnalgesicScore,VetBiasFlag,DurationPerKg_x_PreOpGrimace,PreOpRiskScore_x_SurgeryComplexity,DurationPerKg_x_AnalgesicScore,LocalBlock_x_PreOpGrimace,BaselineAnalgesiaNeedScore,BaselineAnalgesiaNeedCategory
1,9666,15,3.3,Male,New Zealand White,Catheter,53,Protocol1,0,0.30857173817350214,2.0,5,50.08,Single,Vet6,1.5,40.32803305686338,1,16.060606060606062,2.0,50.08,18.828,Minor,39.31341010797909,Medium,3.0,False,-0.28063980229509194,-0.46059994921952757,32.121212121212125,0.0,-4.507245309587841,0.0,29,Low
2,7235,30,3.86,Male,Californian,Castration,21,Protocol1,0,0.03287978202053679,1.0,3,65.39,Group,Vet9,5.5,49.79794359761603,4,5.4404145077720205,1.0,65.39,23.536499999999997,Minor,55.77915540506617,Medium,0.0,False,-0.8244097890063243,-1.2105234116834935,5.4404145077720205,0.0,-4.485130976459278,0.0,35,Medium
3,7439,42,4.23,Female,New Zealand White,Catheter,50,Protocol1,0,0.2915606014936669,4.0,1,51.19,Group,Vet8,1.5,44.13805195361673,1,11.820330969267138,4.0,51.19,20.5165,Minor,45.93805565885916,Medium,2.0,False,-0.3107144989307042,0.6734985508194586,47.28132387706855,0.0,-3.6727482143109236,0.0,42,Medium
4,6892,35,2.35,Male,Dutch Belted,OcularImplant,119,Protocol2,0,1.5775424018728157,0.0,3,78.56,Single,Vet8,10.0,66.71225906929567,4,50.638297872340424,0.0,78.56,27.496,Major,85.18881130759391,High,0.0,1,1.2774514657289195,-1.8018272918027072,0.0,27.496,64.6879678390389,0.0,63,Medium
5,7938,22,5.0,Male,New Zealand White,Castration,21,Protocol1,0,0.02352809421017755,5.0,2,28.56,Single,Vet3,5.5,36.568192244898874,3,4.2,5.0,28.56,13.245999999999999,Minor,32.776011375331684,Low,5.0,0,-0.84531434333874,1.30527626449334,21.0,0.0,-3.5503202420227082,0.0,49,Medium
6,4157,28,2.21,Male,Dutch Belted,Castration,20,Protocol2,0,0.2764568594970411,2.0,4,67.38,Group,Vet4,5.5,55.84978224577236,3,9.049773755656108,2.0,67.38,24.883,Minor,66.30175045290596,Medium,4.0,False,-0.33775089322285756,-0.427887665124681,18.099547511312217,0.0,-3.056569169437625,0.0,32,Low
7,4748,36,5.0,Male,New Zealand White,Castration,21,Protocol1,0,1.9586366424397372,5.0,0,50.6,Single,Vet7,5.5,45.84930866537951,2,4.2,5.0,50.6,20.96,Minor,48.91349212497568,Medium,4.0,False,1.5943839993696725,1.335062595608176,21.0,0.0,6.696412797352624,0.0,43,Medium
8,1854,37,2.66,Male,Californian,Castration,20,Protocol1,0,0.020392608545679577,2.0,0,37.51,Group,Vet5,5.5,42.75257323186169,2,7.518796992481203,2.0,37.51,14.4285,Minor,43.52906355182927,Medium,0.0,False,-0.8523661158770064,-0.39099255225574425,15.037593984962406,0.0,-6.4087677885489205,0.0,33,Low
9,1659,34,4.54,Female,New Zealand White,Ovariohysterectomy,92,Protocol2,0,0.437960824316581,3.0,1,54.87,Single,Vet1,8.0,54.5498366413233,6,20.26431718061674,3.0,54.87,21.1545,Major,64.0414784967123,Medium,2.0,False,-0.06392345901235051,0.20481399456452706,60.792951541850215,21.1545,-1.2953652487084244,0.0,66,Medium
10,7287,10,3.43,Female,Californian,Catheter,34,Protocol2,0,0.34733437402515854,0.0,2,38.03,Group,Vet9,1.5,29.401882413629245,3,9.912536443148687,0.0,38.03,13.3105,Minor,20.3156368138294,Low,0.0,0,-0.21354504288956605,-1.834442999949462,0.0,0.0,-2.1167730198965726,0.0,31,Low
